Beaver,Tim,(617) 010-1001,mitbackwards@mit.edu,timmytimtim@microsoft.net
Brady,Tom,(617) 999-1111,tom@patsne.com,pats4lyfe@hotmail.com
Everdeen,Katniss,814-713-9013,tribute1@district12.net,katniss@yahoo.com
Hammingway,Ernest,623.910.3018,ehamming@hamsterdance.com
Jasso,Frijolito,(617) 841-8347,frijolito@catmail.com
Lemon,Liz,(202) 555-8130,lizlemon@nbc.com
Manchu,Foo,(480) 555-6134,foomanchu@gmail.com
Mellark,Peeta,814.206.1143,tribute2@district12.net
Nadal,Rafael,971 201 8391,rafa@atp.com
Obama,Barack,(202) 889-9821,barack@us.gov,bdubs_odawg@expedia.com
Octavius,Percival,(617) 813-5505,poctavius@catmail.com
Potter,Harry,(020) 987-6543,antivoldy@hogwarts.com
Yastrzemski,Carl,617-812-5503,thegreatest@redsox.mlb.com
Zhao,Ming,1 800 717 1208,ming@zhao.biz
